ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11758160,JC349326,07/14/2019 11:00:00 PM,015XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2535,025,26,23,06,1152081,1909954,2019,07/21/2019 04:11:41 PM,41.90878408,-87.716763594,"(41.90878408, -87.716763594)",10,4299,24,422,49,5,7,190
11759109,JC350514,07/14/2019 11:00:00 PM,012XX W 97TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2213,022,21,73,14,1169678,1840189,2019,07/21/2019 04:11:41 PM,41.716976345,-87.65414625,"(41.716976345, -87.65414625)",18,22212,72,592,13,13,9,252
11758003,JC349085,07/14/2019 10:55:00 PM,002XX E 41ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0213,002,3,38,04B,1178442,1877868,2019,07/21/2019 04:11:41 PM,41.820177354,-87.620904658,"(41.820177354, -87.620904658)",12,4301,4,163,9,36,24,102
11757911,JC349075,07/14/2019 10:55:00 PM,120XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0523,005,9,53,08B,1177103,1825158,2019,07/21/2019 04:11:41 PM,41.675565148,-87.627403058,"(41.675565148, -87.627403058)",30,21861,50,60,43,19,10,218
11758010,JC349082,07/14/2019 10:54:00 PM,080XX S MARSHFIELD AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0611,006,21,71,04B,1166741,1851379,2019,07/21/2019 04:11:41 PM,41.747746453,-87.664584768,"(41.747746453, -87.664584768)",18,21554,70,574,13,59,20,231
11757985,JC349136,07/14/2019 10:54:00 PM,036XX S WINCHESTER AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,true,0912,009,12,59,04A,1163945,1880553,2019,07/21/2019 04:11:41 PM,41.827862825,-87.67401042,"(41.827862825, -87.67401042)",26,14924,56,720,1,37,23,165
11757896,JC349087,07/14/2019 10:54:00 PM,048XX W RICE ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,37,25,19,1143857,1905216,2019,07/21/2019 04:11:41 PM,41.895940726,-87.74709392,"(41.895940726, -87.74709392)",4,4299,26,578,45,5,25,69
11757988,JC349140,07/14/2019 10:52:00 PM,095XX S DR MARTIN LUTHER KING JR DR,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,0511,005,9,49,24,1180592,1841782,2019,07/21/2019 04:11:41 PM,41.721104524,-87.614124578,"(41.721104524, -87.614124578)",31,21861,45,567,43,19,10,250
11757978,JC349103,07/14/2019 10:50:00 PM,013XX S AVERS AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1011,010,24,29,08A,1150927,1893432,2019,07/21/2019 04:11:41 PM,41.863468645,-87.721435656,"(41.863468645, -87.721435656)",36,21569,30,33,14,57,21,155
11757953,JC349127,07/14/2019 10:50:00 PM,050XX S WASHINGTON PARK CT,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,false,false,0223,002,3,38,15,1180108,1871528,2019,07/21/2019 04:11:41 PM,41.802741802,-87.614987506,"(41.802741802, -87.614987506)",12,21192,4,394,9,10,24,116
11757920,JC349102,07/14/2019 10:45:00 PM,052XX N MEADE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1622,016,45,11,08B,1134448,1934425,2019,07/21/2019 04:11:41 PM,41.976264694,-87.780960531,"(41.976264694, -87.780960531)",20,21869,11,779,50,48,12,43
11757937,JC349091,07/14/2019 10:45:00 PM,015XX E 70TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,0332,003,5,43,14,1187719,1858884,2019,07/21/2019 04:11:41 PM,41.767867737,-87.587477228,"(41.767867737, -87.587477228)",32,22260,39,416,33,60,18,212
11758045,JC349072,07/14/2019 10:44:00 PM,068XX S ASHLAND AVE,0460,BATTERY,SIMPLE,STREET,false,false,0725,007,16,67,08B,1166855,1859263,2019,07/21/2019 04:11:41 PM,41.769378793,-87.663942241,"(41.769378793, -87.663942241)",17,22257,65,283,31,23,17,204
11758053,JC349070,07/14/2019 10:43:00 PM,010XX W 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0613,006,21,71,08B,1170891,1849783,2019,07/21/2019 04:11:41 PM,41.743277298,-87.649424373,"(41.743277298, -87.649424373)",18,21554,70,487,13,59,20,233
11757904,JC349107,07/14/2019 10:30:00 PM,004XX N MENARD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1512,015,29,25,07,1137639,1902004,2019,07/21/2019 04:11:41 PM,41.887240906,-87.77000911,"(41.887240906, -87.77000911)",52,22216,26,672,7,32,25,85
11759810,JC351206,07/14/2019 10:30:00 PM,035XX W SUNNYSIDE AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1723,017,33,14,03,1152033,1929680,2019,07/21/2019 04:11:41 PM,41.962914746,-87.716418472,"(41.962914746, -87.716418472)",2,21849,14,24,20,20,1,9
11760956,JC352570,07/14/2019 10:30:00 PM,047XX S WESTERN BLVD,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0931,009,15,61,06,1161327,1872993,2019,07/21/2019 04:11:41 PM,41.807172018,-87.683825238,"(41.807172018, -87.683825238)",29,14924,59,788,3,37,23,115
